'''
Please cite this paper
Li, J., Zhang, G., Zhang, S. et al. Seismicity characteristics and interseismic 
locking of the Anninghe Fault, Southwest China: Insights from long-term dense 
seismic array observations. Earth Planets Space 77, 63 (2025). 
https://doi.org/10.1186/s40623-025-02167-z
'''
ot,lat,lon,dep,mag,dt_max,num_sta,ex,ey,ez,rms,evid
2008-12-08T05:23:17.220000Z,27.819743,101.887508,25.99,1.0,163.1,3,118.1,132.7,193.1,0.123,226
2008-12-08T09:08:39.240000Z,29.304551,102.549268,2.57,0.3,152.7,3,106.7,102.6,71.8,0.060,232
2008-12-08T10:02:01.950000Z,29.330257,102.580721,2.93,0.0,225.8,3,104.8,68.4,88.6,0.057,230
2008-12-08T17:02:42.360000Z,29.376477,102.586882,13.33,0.3,282.5,3,543.8,305.3,411.2,0.005,229
2008-12-09T03:04:18.410000Z,29.371533,102.618481,0.63,0.4,159.4,4,225.6,215.6,306.9,0.103,220
2008-12-09T10:12:22.900000Z,29.383789,102.629451,3.79,0.7,165.8,5,298.4,204.0,248.9,0.113,216
2008-12-09T11:07:39.980000Z,29.059351,102.368758,25.85,1.0,328.0,4,221.4,200.9,204.7,0.080,225
2008-12-09T15:01:01.910000Z,29.144761,102.146037,13.28,1.3,331.3,6,338.0,625.9,554.7,0.124,221
2008-12-09T22:10:40.520000Z,29.391756,102.591398,4.69,0.6,171.6,3,514.0,386.9,310.6,0.133,217
2008-12-09T23:08:14.080000Z,29.372437,102.617049,6.03,0.3,270.5,4,202.8,176.6,240.7,0.085,224
2008-12-10T08:18:56.680000Z,28.664058,102.231307,8.65,1.1,72.6,13,171.2,152.3,417.4,0.148,207
2008-12-10T09:04:50.920000Z,29.80945,102.365951,14.34,1.9,150.0,11,266.6,180.6,414.8,0.122,213
2008-12-10T09:19:46.960000Z,30.187785,102.147591,29.84,1.7,85.4,14,149.7,138.9,416.1,0.123,222
2008-12-10T22:02:19.520000Z,29.032001,102.360856,10.8,0.6,312.6,4,302.6,345.2,492.4,0.088,215
2008-12-11T02:08:28.030000Z,29.363843,102.627702,3.65,0.4,169.0,4,189.0,195.3,242.2,0.092,219
2008-12-11T04:05:28.970000Z,29.383226,102.620711,2.37,0.4,288.5,3,203.3,191.7,277.2,0.094,212
2008-12-11T11:08:54.930000Z,29.170935,102.242668,8.51,1.3,163.1,8,141.0,266.4,255.8,0.103,218
2008-12-11T11:18:45.040000Z,28.235567,101.694336,12.32,0.8,130.9,5,299.8,251.3,714.6,0.135,206
2008-12-11T19:02:57.320000Z,29.383183,102.612565,5.46,0.2,277.7,4,240.9,254.0,265.5,0.132,214
2008-12-11T21:05:25.040000Z,27.913798,102.09764,5.7,1.0,239.4,3,139.3,217.4,309.4,0.120,211
2008-12-11T22:23:36.900000Z,29.14116,102.287069,13.76,0.9,169.5,8,164.8,201.1,194.6,0.109,205
2008-12-11T23:17:35.880000Z,28.659621,102.240861,2.65,1.0,71.7,11,467.9,93.4,903.1,0.094,208
2008-12-12T12:17:49.390000Z,29.092102,102.526481,19.38,0.0,306.1,4,230.1,186.5,157.1,0.043,201
2008-12-12T15:11:53.030000Z,29.052338,102.36783,25.14,1.1,189.1,10,215.6,165.4,167.2,0.083,202
2008-12-13T01:08:49.210000Z,29.369979,102.626725,4.24,0.2,170.1,4,255.1,222.9,247.7,0.165,200
2008-12-13T01:10:51.060000Z,29.364398,102.612956,5.77,0.6,150.0,4,195.9,182.8,213.0,0.122,199
2008-12-13T06:01:57.090000Z,29.357819,102.641561,9.2,0.3,278.0,3,293.0,237.6,375.4,0.072,203
2008-12-13T20:10:59.320000Z,29.377165,102.605135,6.75,0.7,142.3,4,233.9,324.1,339.6,0.141,198
2008-12-14T06:11:11.010000Z,29.370931,102.622282,2.1,0.5,153.1,5,202.5,199.3,267.4,0.100,197
2008-12-15T07:10:51.060000Z,27.663696,101.869979,11.73,0.7,159.3,3,325.0,396.5,810.4,0.187,195
2008-12-16T08:04:45.960000Z,29.343671,102.617448,3.38,0.4,253.8,3,221.5,207.6,274.0,0.109,192
2008-12-16T09:16:15.740000Z,29.197996,102.287638,5.88,1.4,158.6,10,173.9,241.6,194.4,0.121,189
2008-12-16T12:14:26.020000Z,28.236664,102.226782,12.35,1.0,132.3,6,253.1,283.4,405.9,0.147,186
2008-12-17T05:12:36.460000Z,30.189219,101.658325,8.77,1.0,204.2,3,334.8,463.8,604.5,0.036,187
2008-12-17T08:15:08.790000Z,28.236204,102.209863,12.88,1.9,118.6,12,276.2,278.5,391.6,0.153,190
2008-12-17T16:04:26.450000Z,29.384678,102.614925,5.98,0.5,157.7,4,217.0,239.9,256.2,0.082,184
2008-12-18T02:10:36.850000Z,29.295514,102.543001,1.89,0.3,171.7,3,106.4,96.7,70.4,0.033,181
2008-12-18T11:09:46.490000Z,27.601695,101.858773,19.41,1.2,166.7,4,155.5,191.3,286.8,0.108,188
2008-12-19T00:04:01.180000Z,27.556728,101.892432,17.86,1.2,186.7,5,176.5,231.5,311.3,0.128,183
2008-12-19T10:10:52.260000Z,29.277531,102.498014,2.15,0.3,137.3,7,134.0,116.7,143.1,0.111,178
2008-12-19T13:23:05.150000Z,29.084945,102.390837,14.74,0.5,302.9,5,1005.2,1214.4,1047.5,0.189,180
2008-12-19T20:03:49.700000Z,27.835225,102.165633,10.52,1.0,211.0,3,251.2,330.4,267.2,0.101,179
2008-12-20T09:04:04.960000Z,29.332263,102.596761,3.71,0.4,112.1,8,124.6,78.3,80.1,0.101,174
2008-12-20T12:02:57.860000Z,28.151272,101.779777,18.72,1.3,140.8,3,13.9,22.0,57.9,0.046,175
2008-12-20T14:21:52.030000Z,29.034949,102.406502,22.94,0.1,206.2,7,173.3,162.9,186.6,0.080,176
2008-12-21T02:03:38.610000Z,29.213631,102.237118,8.88,0.4,176.3,4,160.0,307.6,244.6,0.133,173
2008-12-21T02:15:10.800000Z,28.989669,102.063729,9.12,1.0,200.3,7,168.5,311.0,432.9,0.139,170
2008-12-22T08:14:59.460000Z,29.460952,102.211841,8.91,0.4,240.7,6,287.6,223.7,428.4,0.118,167
2008-12-22T13:03:30.120000Z,29.336188,102.586198,3.49,0.5,236.0,3,107.3,89.2,82.2,0.040,169
2008-12-23T06:09:01.460000Z,29.371462,102.62137,4.44,0.7,280.6,3,190.9,165.8,249.9,0.077,172
2008-12-23T19:10:00.540000Z,29.388597,102.618042,6.99,0.4,291.4,3,461.0,278.5,501.8,0.100,168
2008-12-24T08:21:12.720000Z,30.172595,102.804915,17.71,2.7,70.5,7,293.6,232.6,321.1,0.117,160
2008-12-24T09:04:51.790000Z,27.698145,101.776164,16.56,1.0,229.8,3,156.6,173.6,269.5,0.114,163
2008-12-24T11:18:48.870000Z,29.130219,102.429614,13.84,0.5,174.2,9,243.3,270.6,232.7,0.105,162
2008-12-24T12:10:06.640000Z,29.377724,102.609635,3.29,0.3,283.3,3,187.2,175.4,257.0,0.072,165
